english,kabyle
"to encourage","ssebghes, ssebghes, ur issebghes, yessebghas"
"to encourage (1)","assebghes, sniref"
"to endeavor","ases, assas, ittases, ur yusis, yuses"
"to endure","ngez, nttar"
"to enliven","kfedh"
"to enroll","assiggez, issaggez, issiggiz, ssiggez, ur issaggez"
"to enter","kcem"
"to enumerate","asmiwer, ismawer, ismiwir, smiwer, ur ismawer"
"to envelop","ttsel"
"to envy","seddern"
"to equalize","segdu"
"to equip","asgalaf, isgalaf, isgulef, sgalef, ur isgulef"
"to equip (1)","sgilef"
"to erase","asray, iser, issar, mhu, ser, sfedh, ur isir"
"to escape","fertel, rwel, sellek"
"to escort","angaf, ineggef, ingef, ngef, ur ingif"
"to establish","ghser, seghser"
"to estimate","dked"
"to evoke","bdar"
"to evolve","amhaz, imhez, mehhez, mhez, ur imhiz"
"to exaggerate","ayem"
"to examine","assekyed, issekyad, issekyed, ssekyed, ur issekyed"
"to except","aslad, iselled, isled, sled, slid, ur islid"
"to excuse","suref"
"to execute","asselkem, isselkam, isselkem, sselkem, ur isselkem"
"to execute (1)","selkem"
"to exempt to","slid"
"to exercise","lghem"
"to exile","nfu, zewweg"
"to explain","azzegzi, izzegzay, izzegzi, ur izzegzi, zzegzi"
"to explode","nefruzzi"
"to exploit","amed, ammud, ittamed, ur yumid, yumed"
"to explore","asnirem, isnarem, isnirim, snirem, ur isnarem"
"to expose","assiher, issaher, issihir, ssiher, ur issaher"
"to expose (1)","fser"
"to express","issenfalay, issenfali, ssenfali, ur issenfali"
"to express (1)","assenfali"
"to extinguish","sexsi snes"
"to extract","issef, itessef, ssef, ur issif, usuf"
"to extrapolate","smedhren"
"to face","assidmer, issadmer, issidmir, ssidmer, ur issadmer"
"to facilitate","selmedh, sishel"
"to fail","brir, udh, xser"
"to fall","anhaw, inehhew, inhew, nhew, sderbez, ur inhiw"
"to fall (1)","dderbez, ghli, mdherkel, sseghli"
"to fast","uszum"
"to fatten","aalef, uzur"
"to feed","aalef, setctc"
"to feel","fruy, hulfu, nnefrey"
"to fight","bellen, mectcaw, mmersz, nnagh, tceqlel"
"to fill","ttcar, unsz"
"to filter","sti"
"to finance","siszref"
"to find","agray, gru, igerru, igra, ur igri"
"to finish","fak, fakk, fku, semdu, semket"
"to fix","smegi rsu"
"to flatten","sbelbedh, sgellel"
"to flood","sder"
"to fluctuate","leggwen"
"to fly","afeg, ttafeg, ufeg, ufig"
"to follow","ad'far, atbaâ, dhfar, tbeâ, ur yed'fir, ur yetbiâ, yed'fer, yetbeâ, yettabaâ, yetted'far"
"to follow (1)","isemmezray, issemezri, semmezri, ur isemmezri"
"to follow (2)","asemmezri"
"to fool","ghafes, ghefs, kellex"
"to forbid","agdal, gdel, idgel, igeddel, ur igdil"
"to foresee","azar, gezzen, ittazer, tazert, ur yuzir, yuzar"
"to foresee (1)","szer"
"to forgive","assuref, issuref, ittsuruf, ssuref, ur issuref"
"to forgive (1)","suref"
"to form","assilegh, issalegh, issiligh, ssilegh, ur issalegh"
"to form itself","alegh, allagh, ur yuligh, yettalegh, yulegh"
"to formalize","selghu"
"to formulate","semsel"
"to found","fsi, sersel"
"to frame","assegrer, issegrar, issegrer, ssegrer, ur issegrer"
"to free","asderfi, isderfay, isderfi, sderfi, ur isderfi"
"to frighten","saggwed, sexlaa"
"to frustrate","afdam, fd'em, fdhem, ifdem, ifeddem, ur ifdim"
"to frustrate (1)","sbennen"
"to gather","ssegrew"
"to generalize","asmatu, smatu, ur yesmuta, yesmuta, yesmutuy"
"to get","lummesz"
"to get married","adban, dben, idben, idebben, ur idbin, uwel"
"to get some strike","sileg, sunded"
"to get thinner","imez, irqiq"
"to gird on","bges"
"to give","efk, ukc"
"to give birth","arew"
"to give out","asgal, iseggel, isgel, sgel, ur isgil"
"to give rhythm","issewlellegh, ssewlellegh, ur issewlellegh"
"to give rhythm (1)","assewlellegh, issewlellagh"
"to glue","assented, issentad, issented, ssented, ur issented"
"to gnaw","ghessz"
"to go","ddu, ekk, ruh"
"to gossip","sbecbec, sbejbej"
"to greet","azulu, ittzulu, izul, ur izul, zul"
"to grin","fennec"
"to grind","brec, ddez, ezdh"
"to grope","ferfed"
"to group","segrew"
"to grow","gem"
"to guarantee","segger"
"to guess","cellek, kcef"
"to guide","ner"
"to hang","aalleq, ckenttedh, jgugel, sgenttedh, sili"
"to harass","bbezbax, ssersen"
"to harm","ssertey"
"to harvest","amed, lqwedh"
"to hate","kreh, ksen"
"to have reason","aghzan, ghz'en, ighezzen, ighzen, ur ighzin"
"to heal","ejji"
"to heap","kerker"
"to heat","ssehmu"
"to help","all, ellil, iiwen"
"to help each other","msetlel"
"to hide","effer, snuffer"
"to hire","kfiwel"
"to hit","ewwet"
"to hope for","ssirem"
"to horrify","zzuszed"
"to hunt","agmar, gmer, gummer, igemmer, igmer, ur igmir"
"to identify","ukz"
"to ignore","nzegh"
"to illuminate","sfiw"
"to illustrate","ssumen"
"to imagine","asugen, issugen, issugun, ssugen, ur issugen"
"to imitate","arwas, irewwes, irwes, rwes, swedh, ur irwis"
"to implore","ggeymen, hiwet"
"to import","aktar, iketter, ikter, jber, kter, ur iktir"
"to impose","seddenkiy"
"to improve","silegh"
"to improvise","nnufluli"
"to inaugurate","sszunszu"
"to increase","rnu, sgem, sit"
"to indicate","sken, snaat, summel"
"to individualize","semden"
"to influence","azriri, ittezriri, izrar, ur izrar, zrir"
"to inform","asselghu, mmelghu, sselghu"
"to inherit","kassu"
"to initiate","ctel"
"to insinuate","dmu"
"to inspect","swedh"
"to inspire","hreg, mmehreg"
"to instill","kkukel"
"to integrate","seghred"
"to interpolate","ssenttedh"
"to interrogate","assesten, issestan, issesten, ssesten, ur issesten"
"to interrupt","sneghtem"
"to intrigue","ssemsis"
"to invade","anbaz, inbez, inebbez, nbez, ur inbiz"
"to invent","snulfu, sseghni"
"to invest","ssirew"
"to investigate","sesten"
"to irritate","cettet, sduy, zaaf"
"to isolate","wliwel"
"to join","dded, idded, itedded, tudda, ur iddid"
"to judge","azraf, izerref, izref, ur izrif, z'ref"
"to jump","jelleb, nder, neggez"
"to justify","seffukel"
"to juxtapose","sertem, zdi"
"to kiss","mmac, ssuden"
"to knock","berrez, mberrez"
"to know","issin, tamusni"
"to last","nzeg"
"to latinize","aselt, sselten, ur yesselten, yesseltan, yesselten"
"to laugh","edhs, tadhsa"
"to leave","anef, eddj, igwdhel"
"to leave itself","amsifed, imsafed, ittemsifid, msifed, ur imasafed"
"to lengthen","seghwsef"
"to let","anef, eddj"
"to lick","ellegh, mcah"
"to light","assighi, issagh, issaghay, ssigh, ur issagh"
"to light (1)","ssagh"
"to like","hemmel, ittray, ri, tayri, ur iri"
"to like passionately","arrumsu, irrumsa, ittrumsu, rrumsu, ur irrumsa"
"to limit","sebded"
"to limp","sbidir, squddur, suuszel"
"to listen","assefled, isseflad, issefled, ssefled, ur issefled"
"to listen to","sefled, semhess, smuzget"
"to live","idir"
"to live in","zdegh"
"to load","aebbi, ssisi"
"to localize","sideg"
"to look for","nadi, qelleb, siggel"
"to loosen","kessel, sillew"
"to lower","knu, seneghs, seneghs, sider, subb, subb"
"to make abstain","assigel, issagel, issigel, ssigel, ur issagel"
"to make boil","serkem"
"to make indignant","sekruret"
"to make quickly","ghiwel"
"to make some adieus to","msifed d akk"
"to make the impostor","issehyad', issehyed', ssehyed', ur issehyed'"
"to make the tourism","imerri, ittmerri, landed, merri, ur imerra"
"to make them heap","smidegh"
"to manage","assefrek, issefrak, issefrek, ssefrek, ur issefrek"
"to manage (1)","dbel, sefrek"
"to manipulate","kellex, senduddu"
"to mark","sedg"
"to mate","zdi"
"to mean","namek"
"to measure","iket, iket, ittikit, ket, sekt, sghel, ur ikit"
"to measure (1)","ktil"
"to meditate","krebbu"
"to meet","mager, mlil"
"to memorize","cfu, hsu"
"to merge","ssegdhem"
"to mess up","sseblulegh, sserku, ssimes"
"to militate","aghnas, ghnes, ighennes, ighnes, ur ighnis"
"to militate to","ghnes"
"to misfire","ferkedh"
"to miss","zgel"
"to mistrust","hareb"
"to mix","arwi, sserwi"
"to move","nucceg, rwi"
"to move away","asgugu, isgug, isguguy, sgug, ur isgug"
"to move back","ddirez, wexxar"
"to multiply","akfad', ikeffed', ikfed', kfed', ur ikfid'"
"to must","aghan, atafer"
"to muzzle","bekkem"
"to name","gisem, semmi"
"to nationalize","sseghlen, ur yesseghlen, yesseghlan, yesseghlen"
"to nationalize (1)","aseghlen"
"to negotiate","astag, isetteg, isteg, steg, ur istig"
"to number","assuden, issuden, issudun, ssuden, ur issuden"
"to number (1)","sudhen"
"to nurse","senkes, suttedh"
"to obey","ilel"
"to object","assentel, issental, issentel, ssentel, ur issentel"
"to object (1)","sentel"
"to oblige","zuccel"
"to observe","ad muqleg, ani, muqel, muqleg, ttmuquleg, yuni"
"to observe (1)","akid, annay, annay, ittani, siked, ur yuni"
"to omit","ettsu"
"to ooze","qudder, sti"
"to open","eldi, elli"
"to operate","mhel"
"to oppose","agd'al, gd'el, igd'el, igedd'el, mengew, ur igd'il"
"to oppose (1)","assegdel, issegdal, issegdel, ssegdel, ur issegdel"
"to oppose (2)","segdhel, segmedh"
"to oppress","akrad', ikerred', ikred', kred', kredh, ur ikrid'"
"to oppress (1)","stegh"
"to order","anzad, asmizzwer, inezzed, inzed, nzed', nzedh, ssuned, ssunedh, ssunedh, ssusel, ur inzid"
"to order (1)","assuned, issunud, isuned, ur issuned"
"to organize","ddes"
"to orient","aghed, taghda, ur yughid, yettaghed, yughed"
"to outdo","ad ifeg, ifeg, ttifeg"
"to overflow","effel, sefl"
"to overload","lebben"
"to pacify","semket"
"to paint","ikellu, ikla, kellu, klu, ur ikli"
"to pair","sdukkel, seknew"
"to parade","amsudegh, imsudegh, ittemsudugh, msudegh, ur imsudegh"
"to park","asseghser, isseghsar, isseghser, sseghser, ur isseghser"
"to participate heavily","uzer tsekki"
"to participate in one meal","derru, iderru, idra, thickly, ur idri"
"to partition","gherbet"
"to pass","eeddi, ekk"
"to perfect","blel"
"to permit","anef, eemmed, sfel"
"to persist","andad, ggulez, inded, inedded, nded, ur indid"
"to persuade","lghed"
"to photograph","asseknew, isseknaw, isseknew, sseknew, ur isseknew"
"to pierce","flu, nqeb, snuqeb"
"to pity","ccekti, ccetki, sennirez"
"to place","ssers"
"to plagiarize","hines"
"to plan","asghiwes, isghawas, isghawes, sghiwes, ur isghawes"
"to play","urar"
"to plot","angaz, ineggez, ingez, ngez, ur ingiz"
"to plough","ad kerzeg, kerrzeg, kerzeg, krez"
"to plug","agezzar, agher, rgel, suddem"
"to polemize","zernen"
"to popularize","ssifsus"
"to possess","suu"
"to postpone","smerger"
"to practice","illil"
"to praise","tszuxxu"
"to prance","sdikki"
"to precede","zwar, zwer, zwir"
"to prefer","ssuf, zullen"
"to prepare","heggi, ssiteb"
"to present","seneet, sken, ssenked"
"to preside","asselwi, isselway, isselwi, sselwi, ur isselwi"
"to preside (1)","sluy"
"to press","eszem, swer, tekki"
"to pretend","ntel"
"to prick","eqqes"
"to privatize","ssesleg"
"to privilege","seglem"
"to proclaim","seyru"
"to produce","afares, fares, ifures, ittfaras, ktem, ur ifures"
"to produce (1)","aktam, ikettem, iktem, ur ikrim"
"to program","assihel, issahal, issahel, ssihel, ur issahel"
"to program (1)","sihel"
"to progress","asfari, isfaray, isfari, sfari, ur isfari"
"to proletarianize","issemghad, issemghed, ssemghed, ur issemghed"
"to proletarianize (1)","assemghed"
"to promise","ar'eggem, ir'eggem, ittr'eggim, r'eggem, ur ir'eggem"
"to promote","asmal, isemmel, ismel, smel, ur ismil"
"to pronounce","assusru, issusra, issusruy, ssusru, ur issusra"
"to pronounce (1)","susru"
"to propose","asumer, isumer, isumur, ssumer, ur isumer"
"to propose (1)","sumer"
"to protect","ammesten, immesten, ittmestin, mmesten, ugesz, ur immesten"
"to provide","jajju"
"to provoke","asmentes, ismentes, ismentis, smentes, ur ismentes"
"to prune","leqqem, zber"
"to publish","izz'az'rag, izz'az'reg, ur izz'az'reg, zz'iz'reg"
"to pull","kkes, sukef"
"to punish","aqasi, iqas, ittqasa, qas, sufger, ur iqas, weddeb"
"to punish (1)","aweddeb, ittweddib, iweddeb, ur iweddeb"
"to purchase","fdu"
"to purge","sseghwes"
"to pursue","dhfer, stegh"
"to push","senned, tekki"
"to put","serves"
"to put in order","ismazzwer, ismizzwir, smizzwer, urismazzwer"
"to put into","mmeghru"
"to put the order","seggem"
"to question","cukk, steqsi, sured"
"to quit","aneff, eddj, fak, ghettem, ifel"
"to radiate","zzenszar"
"to rain","ikkat, lehwa, ugeffur"
"to raise","assinen, issanen, issinin, ssinen, ur issanen"
"to raise (1)","ksi, naqel, rfed, sbedd, sbedd, sker, snig, sughed"
"to raise (2)","naqel, sker"
"to raise himself","bedd, ekker"
"to rape","crem"
"to reach","issigh, ssiwedh"
"to react","assedmer, issedmar, issedmer, ssedmer, ur issedmer"
"to read","ennen, gher"
"to reap","fres, jredh, mgar, mjar"
"to rebel","aghewwegh, ankar, ghewwegh, ighewwegh, inker, ittenkar, ittghewwigh, nker, ur ighewwegh, ur inkir"
"to recall","smekti, ssekti"
"to receive","rmes, ttef"
"to recite","szug"
"to recognize","kez"
"to reconcile","fru, sszenszel"
"to record","aklas, ikelles, ikles, kles, ur iklis"
"to rectify","ssughed"
"to reduce","seqsef"
"to reform","sekwen"
"to refuse","aggwi"
"to refute","err"
"to regress","iki"
"to regret","mmugresz, ndem"
"to reject","agwi, degger, rrit"
"to relate","hku mecceh"
"to release","anef, eddj, sarreh"
"to remain","gwri, qim"
"to remember","aktay, cfaya, tamecfa"
"to rent","kru, ulk"
"to repeat","ales, allus, ittales, ur yulis, yules"
"to represent","agenses, ggenses, iggenses, ittgensis, ur iggenses"
"to represent (1)","imgenses"
"to rescue","ellel"
"to resemble","anzi, cabi, efk, rwes"
"to resign","szuder"
"to resist","azbay, izba, izebbu, ur izbi, zbu"
"to resound","stcentcen, tcentcen"
"to respect","qader, zrekket"
"to rest","senfu, sgunfu, staafu"
"to retail","sulledh"
"to retort","ssegdel"
"to return","neqqes, ughal, uqqel"
"to revolt","ghewwegh, nker"
"to revolutionize","segriwel"
"to revolve","lemlem"
"to reward","arraz, arrez, ittarraz, ur yurriz, yurrez"
"to rhyme","ameghru, immeghra, ittmeghruy, mmeghru, ur immeghra"
"to rid","bellez"
"to ridicule","tmesxar"
"to ring","stcentcen, tctcentcen"
"to rock","sharuru, slullu, zzuzen"
"to roll up","nnedh, ttsel, zgen"
"to romanize","sr'ummen, ur yesr'ummen, yesr'ummen"
"to romanize (1)","asr'ummen, yesr'ummen"
"to rub","ems, hukk, zrek"
"to ruin","sekreffet, xlu"
"to run","azzel"
"to run away","rwel, rwel"
"to sabotage","ndel, sfata, sinef"
"to sacrifice","aghras, ghres, igherres, ighres, ur ighris"
"to sail","assilel, issalal, ssilel, ssilel, ur issilel"
"to satiate","erwu"
"to satisfy","sgiwen"
"to saturate","ssudhedh"
"to save","assegfer, issegfar, issegfer, ssegfer, ur issegfer"
"to say","ini"
"to scar","crem, xbec"
"to scatter","wzzaa"
"to school","sghurbez"
"to scrape","azu"
"to scratch","ser"
"to scream","eeggedh, sugh"
"to screw","aftal, ftel, ifettel, iftel, ur iftil"
"to sculpt","asreqqet, isreqqet, isreqqit, sreqqet, ur isreqqet"
"to sculpt (1)","srem"
"to seal","assekbeb, issekbab, issekbeb, ssekbeb, ur issekbeb"
"to search","agawes, gawes, iguwes, ittgawas, ur iguwes"
"to search (1)","qelleb"
"to search for","qelleb, ssigel"
"to seduce","alghad, ileghghed, ilghed, lghed, ur ilghid"
"to see","romans, rr'uman, szar, wali, xam"
"to seem","rwes"
"to segment","ssighel"
"to seize","ettef, umesz"
"to seize the opportunity","allummez', illummez', ittlummuz', llummez', ur ilummez'"
"to sell","areg"
"to send","azen, azzun, ceggaa, ittazen, ur yuzin, yuzen"
"to send (1)","ssifedh"
"to separate","bdhu, sengari, senkez"
"to serve","bdhu, ssulet"
"to settle","aghsar, ghser, ighesser, ighser, ur ighsir"
"to sew","agnay, gni, gnu, igenni, igni, ur igni"
"to shake","senhes, slummec, zwi"
"to shake thousand","immal-itsmal ngugel"
"to share","bdhu"
"to sharpen","semsed, seqdhaa"
"to shell","sefriri"
"to shelter","ddari, effer, sdari, sense, sgelf, zrizegh"
"to shine","crureq, reqq"
"to shock","negges, serkes"
"to shoot","assurre, issurret, ittsurrut, ssurret, ur issurret"
"to show","sken, snaat"
"to sift","seff, siff"
"to sign","azmal, izemmel, izmel, ur izmil, zmel"
"to sing","acnay, ccnu, cnu, icennu, ur yecni, yecna"
"to sink","azzel, cercer"
"to sit","sghim"
"to sit down","qim"
"to skim","celledh"
"to skimp","cih"
"to slaughter","ghers, zlu"
"to sleep","ettes, gen"
"to sleep lightly","nuddem, ttes"
"to slow down","awegh hbes, lukkez"
"to smear","dhlu"
"to smile","acmumeh, azmumeg, cmumeh, zemzegh, zmumeg"
"to smoke","ghubbet, ighubbet, ittghubbut, ur ighubbet"
"to smoke (1)","keyyef, sguggu"
"to sneeze","aadhes"
"to snore","jexxwer, sxerxer"
"to sob","meddjed"
"to soften","selwegh"
"to soil","nkel, sseblulegh, ssimes"
"to solve","fru, reg"
"to soon","ar deqal, ar ticki"
"to sort out","fren"
"to sound","illegh, llegh, serse, tullgha, ur illigh ittellegh"
"to sparkle","crureq"
"to speak","meslay"
"to specialize","asmuzzeg, ismuzzeg, ismuzzug, smuzzeg, ur ismuzzeg"
"to spell","ennen"
"to spill","aznaw, izennew, iznew, ur izniw, znew"
"to spit","sufs, susef"
"to spread","busszel, edhlaq, fser, fser, sefletgh, sszel"
"to start","assekri, isskaray, issker, ssker, ur issker"
"to stay","qim, zdegh"
"to steal","akwer, ferkedh, ferkedh"
"to stink","fuh, tsfuh"
"to stock","sguder"
"to stop","abbaz, abez, ittabez, sebded, ur yibiz, yubez"
"to store","selghes"
"to stretch","nzegh"
"to study","azraw, izerrew, izrew, lmed, ur izriw, zrew"
"to stumble","ccedh, hdiddi, mliwel"
"to stun","suusszegw"
"to stutter","sqewqew, tewtew"
"to submit","zzegszen"
"to suborn","sellemlem"
"to subsidize","assekbel, issekbal, issekbel, ssekbel, ur issekbel"
"to substitute","smelsi"
"to succeed","awedh, imighen, smures"
"to suck","summ"
"to suckle","summ, ttedh"
"to suggest","wszedh"
"to summarize","assegzel, issegzal, issegzel, ssegzel, ur issegzel"
"to summarize (1)","zegwzel"
"to supervise","aass, mgesz"
"to supply","azz', izz'agez', izz'igiz', ur izz'agez', zz'igez'"
"to support","bib"
"to suppose","urdu"
"to surround","berrem, zzid"
"to sustain","kbel"
"to swallow","elmesz, slem, slum"
"to swear","ggal"
"to sweep","afrad', dhum, fred', iferred', ifred', ur ifrid'"
"to sweep (1)","semm, sfedh"
"to swell","bzeg, ssebzeg"
"to swim","ardab, irdeb, ireddeb, nder, rdeb, ur irdib, uum"
"to swing","lewweh, wliwel"
"to take","awi, ddem, effegh, effegh, ffugh, ffugh, sseghnu"
"to take a rest","assenfu, issenfa, issenfay, ssenfu, ur issenfa"
"to take air","bbuhru"
"to take care of","dawi, ssehlu"
"to take down","subb der"
"to take refuge","azrizegh, izrizegh, izrizigh, ur izrizegh, zrizegh"
"to tan","issaghwel, issighwil, ssighwel, ur issaghwel"
"to tan (1)","assighwel"
"to taste","aaredh, mdhu"
"to teach","asselmed, isselmad, isselmed, sselmed, ur isselmed"
"to teach (1)","selmed"
"to tear","cerreg, sghers"
"to tell","hku, qqis, wennen"
"to tense","krurem"
"to terrorize","sermegh, ssiwef"
"to test","aredh, udez"
"to thank","isnemmir, snemmer, snemmer, ur isnemmer"
"to thank (1)","asnemmer"
"to thin out crew","ezzer"
"to think","assended, isnezgem, isnezgum, issendad, issended, snezgem, ssended, ur isnezgem, ur issended"
"to think (1)","krebbet, swingwm, xemmem"
"to thread","els, qqen"
"to threaten","aggaz, ggez, iggez, iteggez, ur iggiz"
"to throw","dheggar, ndar"
"to tickle","sgelgedh, skikedh"
"to tighten","hezzaq, uss, zeyyar"
"to tinker","dqar, mermed"
"to tire","aayu, rmi, saayu"
"to torture","ddez, dgesz"
"to total","seghred"
"to touch","nnal, sley"
"to tow","azzugher, izzughur, ur izzugher, zzugher, zzugher"
"to transcend","myur"
"to transfer","asd'ermes, isd'ermes, isd'ermis, sd'ermes, ur isd'ermis"
"to transfer (1)","sdhermes"
"to transform","sseghwel"
"to translate","assuqel, issuqel, issuqul, ssuqel, ur yessuqel"
"to translate (1)","ssughel"
"to transmit","ssiwedh"
"to transport","mesni, sigen"
"to transpose","sgelt"
"to trap","adi, zeqqer"
"to travel","inig, inig, ittinig, muddu, sikel, ur yunag, yunag"
"to treat","sniret"
"to triumph","alek, allak, ur yulik, yettalek, yulek"
"to trot","buhef"
"to trust","anekfar, burez"
"to try","aaredh"
"to turn","bren, dewwar, zzi"
"to turn arab","sseâr'eb, ur yesseâr'eb, yesseâr'ab, yesseâr'eb"
"to turn arab (1)","aseâr'eb"
"to turn equal","asegdu, isegda"
"to underestimate","kuddel"
"to underline","aderrer, derrer, iderrer, ittderrir, ur iderrer"
"to understand","gzu, igezzu, igza, tigzi, ur igzi"
"to undertake","ar'mas, ir'emmes, ir'mes, r'mes, ur ir'mis"
"to unload","zugez"
"to uproot","qlaa, sskuf"
"to use","assemres, issemras, issemres, ssemres, ur issemres"
"to use (1)","semdu, seqdec"
"to vaccinate","gzi"
"to valorize","zzewzel"
"to value","skazel, udez"
"to vary","assined, issaned, issinid, ssined, ur issaned"
"to vary (1)","sebrer"
"to veil","ghum, sberber"
"to verify","daddet"
"to vibrate","asmami, ismamay, ismami, nhez, smami, ur ismami"
"to vie","amenzegh, immenzegh, ittmenzigh, mmenzegh, ur immenzegh"
"to visit","rzef rzu"
"to vote","adghar, dghar, dgher, ideghgher, idgher, ur idghir"
"to vote (1)","fren"
"to wait","ggani, rdju"
"to wake","akwi"
"to walk","ddu, eddu, ihu, iteddu, murrey"
"to wander","buhef, lulli, menttar"
"to warn","ghtel"
"to wash","ssired"
"to waste","semcucu, zemzer"
"to watch","aass, mdi, sfuru"
"to water","sessu, ssew"
"to wave","amdeswel, imdeswel, ittemdeswal, mdeswel, ur imdeswel"
"to weaken","nzef, ssumen"
"to weave","eszdh"
"to wedge","sikel, sikil"
"to welcome","snubbeg"
"to weld","aleqqem, ileqqem, ittleqqim, leqqem, ur ileqqem"
"to wet","sebzeg, slexs"
"to whisper","htiti, sbecbec, sbejbej"
"to widen","sbirew, sewsaa"
"to win","berghec, rbeh"
"to winter","sigres"
"to wipe","sfedh"
"to wish","ghzel, sirem"
"to work","amahel, imuhel, ittmahal, mahel, ur imuhel"
"to work (1)","mmuzel"
"to worry","hebbar, rmegh"
"to wrap","ajellel, ijellel, ittjellil, jellel, ur ijellel"
"to write","ad arug, aru, ittaru, ttarug, ur yuri, urig, yura"
"to write down","siggez, sikkez"
"tobacco","taba"
"toboggan","isicceg, isiccgen"
"toe","tifdent"
"together","lwahid, tagrumma"
"toilets","abduz, ajmir, ibdaz"
"tolerance","amazzu"
"tomorrow","azekka"
"tongs","tisiddemt, tisiddmin"
"tongue","iles, yiles"
"tool","afecku, amass"
"tooth","tughmest"
"toothpaste","alkaz', tughmas"
"topic","afdes, ameggay, asentel, ifedsan, isental"
"topic grammar","ameggay"
"topological","asnidgan"
"topology","tasnidegt"
"torch","tasafut"
"torture","adagasz"
"total","aghrud"
"totality","teghred"
"toughness","taghert"
"tourism","tamerrit"
"tourist","amerray"
"toward","afir, ifyar"
"tower","tuzzya, tuzzyiwin"
"tower of role","nnuba, tawala"
"town","tamdint, temdint"
"township","taghiwant"
"toy","alelluc, ilellac, iwrar"
"trace","tamrirt"
"tracheal","ahamran"
"track","abareqqa"
"tractor","amsenzagh"
"trade","tanezzawt"
"trading","amzenzu"
"tradition","ansay"
"traditional","amensay"
"traditionalism","asemmensay"
"traditionalist","asemmensay"
"traffic","asetti"
"traffic light","aseflellay akerdini"
"tragedy","takesna, tikesniwin"
"tragic","akesnan"
"trail","abrid, tagharast, tazniqt"
"trailer","azughir, taghlamt"
"train","tamzughart"
"trainer","amsinen, aslaghmay, imsinnen"
"training","almad, amanun, aselmed, imunan"
"transcendence","tamyurt"
"transcending","amyuran"
"transfer","asmutti"
"transformation","asseghwel"
"transforming","amesmettay"
"transition","andhan"
"transitive","asendhan"
"transitivity","asendhen"
"translation","asughel, tasuqelt, tasuqilt"
"translator","amsuqqel, anemmegrud, imsuqel, imsuqlen"
"transmission","asiwedh"
"transparency","tafrawant, tafrawent, tisuseght"
"transparent","afrawan, amessewsagh"
"transportation","amesni, asugun"
"transverse","alwegdis"
"trap","tazeqqurt, tifxets"
"trash can","tafrest, tifersin"
"traveler","amesikkel, amessebrid, iminig, imsikel, imsukal"
"treason","lexdaa, tikerras"
"treasure","abaynu, agerruj, igerwaj"
"treasurer","aneszraf"
"treaty","aghan"
"tree","addag, aseklu, isekla, tt'ejra, tt'jur'"
"triad","tamekratt"
"triangle","akerd'is"
"triangular","akerd'as"
"tribe","taqbilt"
"tribune","tas'eddart"
"trick","tixidas, tixidest"
"trifle","aqejqul, tajelbujt"
"triumphant","analak, inulak"
"troop","adefrir, takrut, tikra"
"trouble","cwal"
"truck","asbabbay"
"true","idetti"
"trunk","ldjedra, tidri"
"truth","tidets"
"tsbarna","inn"
"t-shirt","ariki"
"t-square","amaghud, imughad"
"tub","tamcuceft, timcucfin"
"tuesday","aram"
"tuna","at'un"
"tupi language","tatupit"
"turbulence","agadh"
"tureen","timsisfeft, timsiskaf"
"turkish","at'erki, it'erkiyen"
"turkish language","tat'erkit"
"turn","ad'rin, aghayan"
"turn of phrase","tameshendit"
"tutelage","tamadhirt"
"tutorial","tamadirt, timudar"
"tv channel","targa, tiregwa"
"twenty","warem"
"twilight","tameddit"
"twin","akniwen, takniwins"
"two-headed","asnighef, isnighfen"
"type","anaw"
"typewriter","tamacint n tirawt"
"typology","tanawsent"
"tyranny","tadankit"
"tyrant","aseddanku, iseddunka"
"ugly","ucmit"
"ulna","aghemran"
"ultra-nationalism","tanegghelnaz'ri"
"ultranationalist","anegghelnaz'ri, inegghelnaz'riyen"
"umbilical","amid'an"
"umbilical cord","ajaabub, timitt"
"umbrella","aranz'ar"
"unanimity","anemzel, inemzal, unemzel"
"unanimous","anemzal"
"unbalance","annezruy"
"unbalanced","annezri"
"unbiased","azarag"
"uncertain","usamma"
"uncertainty","taglagilt"
"uncle","anat"
"unconditional","arnewtal"
"unconscious","arefray"
"unconsciousness","tarefrit"
"under","ddaw, seddaw, swadda"
"under-developed","agenszu"
"underdevelopment","taggunszit"
"under-developpement","tiggunz'it"
"underground cave","ifri"
"understanding","amtawa, tigzi"
"undertaken","tarmist"
"unfolding","taned'fast"
"ungrateful","anabal"
"uniform","asurad, sured"
"unilingual","aynutlay"
"union","anmali, anmalu, inmula, tadukli, tidukliwin"
"unionist","anmalay"
"unique","asuf"
"unit","aferdis, tayunt"
"united states of america","iwunak yedduklen n temrikt"
"universal","ameghradi"
"universe","ameghrad"
"university","tasdawit"
"univocal","aynazal"
"univrsitary","asdawan"
"unknown","abnabak"
"unpopular","anbayu, inbuya"
"unskilled","abujad"
"unsteady","arkukid"
"until","ar, armi"
"uproar","aaggedh, akerkec, sderdeh, sderdeh, tcaqlala, tctceqle, tctceqle"
"uproar (1)","dderdih"
"uprooted","amakuf"
"urbanization","asgezdu"
"urdu language","turdut"
"use","amres, asemdu, axeddim, imras, tamrest, timras"
"use (1)","aseqdec"
"used","amaris, atwal"
"utensil","afecku, ajeqdur, ifecka"
"utopia","amlalad"
"uvular","amaclal"
"uyghur","awigur"
"uyghur language","tawigurt"
"vacationer","asemmares"
